,Unnamed: 0,title,genres
0,0,apocolocyntosis,"'21st-century', 'history', 'roman', 'classics', 'religion', 'novels', 'philosophy', 'fiction', 'literature', 'short-stories', 'politics', 'non-fiction', 'read-for-school', 'poetry', 'historical', 'humor'"
1,1,the house on the borderland,"'horror', 'mystery', 'classics', 'science-fiction', 'fantasy', 'novels', 'literature', 'fiction', 'paranormal', '20th-century', 'adult', 'speculative-fiction', 'supernatural', 'dark'"
2,2,the warriors,"'literary-fiction', 'history', 'biography', 'family', 'mythology', 'historical-fiction', 'non-fiction', 'historical', 'college', 'contemporary', 'high-school', 'fantasy', 'novels', 'literature', 'fiction', '20th-century', 'essays', 'school', 'adult', 'read-for-school', 'american', 'feminism', 'classics', 'short-stories', 'adult-fiction', 'memoir', 'coming-of-age'"
3,3,a voyage to the moon,"'20th-century', 'science-fiction', 'speculative-fiction'"
4,4,la fiammetta,"'literary-fiction', 'history', 'feminism', 'classics', 'philosophy', 'fiction', 'literature', '20th-century', 'school', 'non-fiction', 'read-for-school', 'poetry', 'college'"
5,5,carmilla,"'romance', 'novella', 'historical-fiction', 'historical', 'horror', 'mystery', 'fantasy', 'novels', 'literature', 'fiction', '20th-century', 'vampires', 'adult', 'school', 'classics', 'paranormal', 'short-stories', 'adult-fiction', 'dark', 'thriller', 'supernatural', 'lgbt'"
6,6,the mystery,"'literary-fiction', 'crime', 'mystery', 'classics', 'suspense', 'mystery-thriller', 'novels', 'literature', 'fiction', 'historical-fiction', '20th-century', 'adult', 'unfinished', 'historical'"
7,7,the mountains of california,"'adventure', 'history', 'biography', 'classics', 'travel', 'literature', 'fiction', 'read-for-school', '20th-century', 'science', 'essays', 'memoir', 'non-fiction', 'unfinished', 'theology', 'american'"
8,8,beneath the banner,'classics'
9,9,gaslight sonatas,"'american', 'science-fiction'"
10,10,the hunt ball mystery,"'literary-fiction', 'crime', 'mystery', 'classics', 'mystery-thriller', 'novels', 'fiction', 'historical-fiction', 'non-fiction', 'historical'"
11,11,complete poetical works,"'classics', 'cookbooks', 'short-stories', 'fiction', 'non-fiction', 'relationships', 'poetry', 'college'"
12,12,the magnetic north,'historical-fiction'
13,13,the works of aphra behn vol iii,"'classics', 'literary-fiction'"
14,14,alaska indian dictionary,"'reference', 'non-fiction'"
15,15,second year at annapolis,'20th-century'
16,16,billie bradley and her inheritance,"'short-stories', 'childrens', 'mystery'"
17,17,old lady mary,"'classics', 'paranormal', 'fantasy', 'short-stories', 'adult-fiction', 'historical'"
18,18,hell,"'history', 'comics', 'historical-fiction', 'non-fiction', 'historical', 'horror', 'mystery', 'fantasy', 'novels', 'literature', 'graphic-novels', 'fiction', '20th-century', 'adult', 'unfinished', 'crime', 'classics', 'dark', 'thriller'"
19,19,further experiences,'classics'
20,20,la vampire,"'romance', 'adventure', 'contemporary', 'picture-books', 'teen', 'mystery', 'action', 'fantasy', 'paranormal', 'fiction', 'love', 'adult-fiction', 'young-adult', 'vampires', 'magic', 'supernatural', 'urban-fantasy', 'paranormal-romance'"
21,21,hamburgische dramaturgie,"'history', 'classics', 'reference', 'philosophy', '20th-century', 'essays', 'non-fiction', 'plays'"
22,22,chinese literature,"'literature', 'non-fiction'"
23,23,the secret of the tower,"'classics', 'adventure', '20th-century', 'mystery'"
24,24,the divine office,"'religion', 'reference'"
